2026-03-27 16:31:21 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 16:31:21 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 16:31:21 | INFO | CI | python=3.14.3
2026-03-27 16:31:21 | INFO | CI | os=Darwin 23.4.0
2026-03-27 16:31:21 | INFO | CI | shell=zsh
2026-03-27 16:31:21 | INFO | CI | cwd=notebooks
2026-03-27 16:31:21 | INFO | CI | github_actions=False
2026-03-27 16:31:21 | INFO | CI | ROOT_PATH = .
2026-03-27 16:31:21 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 16:31:21 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 16:31:21 | INFO | CI | Logger configured.
2026-03-27 16:31:39 | INFO | CI | === RUN START ===
2026-03-27 16:31:39 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 16:31:39 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 16:31:39 | INFO | CI | python=3.14.3
2026-03-27 16:31:39 | INFO | CI | os=Darwin 23.4.0
2026-03-27 16:31:39 | INFO | CI | shell=zsh
2026-03-27 16:31:39 | INFO | CI | cwd=notebooks
2026-03-27 16:31:39 | INFO | CI | github_actions=False
2026-03-27 16:31:39 | INFO | CI | ROOT_PATH = .
2026-03-27 16:31:39 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 16:31:39 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 16:31:39 | INFO | CI | Logger configured.
2026-03-27 16:31:56 | INFO | CI | === RUN START ===
2026-03-27 16:31:56 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 16:31:56 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 16:31:56 | INFO | CI | python=3.14.3
2026-03-27 16:31:56 | INFO | CI | os=Darwin 23.4.0
2026-03-27 16:31:56 | INFO | CI | shell=zsh
2026-03-27 16:31:56 | INFO | CI | cwd=notebooks
2026-03-27 16:31:56 | INFO | CI | github_actions=False
2026-03-27 16:31:56 | INFO | CI | ROOT_PATH = .
2026-03-27 16:31:56 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 16:31:56 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 16:31:56 | INFO | CI | Logger configured.
2026-03-27 16:31:56 | INFO | CI | ========================
2026-03-27 16:31:56 | INFO | CI | Notebook executed successfully!
2026-03-27 16:31:56 | INFO | CI | ========================
2026-03-27 16:35:45 | INFO | CI | === RUN START ===
2026-03-27 16:35:45 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-27 16:35:45 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-27 16:35:45 | INFO | CI | python=3.14.3
2026-03-27 16:35:45 | INFO | CI | os=Darwin 23.4.0
2026-03-27 16:35:45 | INFO | CI | shell=zsh
2026-03-27 16:35:45 | INFO | CI | cwd=notebooks
2026-03-27 16:35:45 | INFO | CI | github_actions=False
2026-03-27 16:35:45 | INFO | CI | ROOT_PATH = .
2026-03-27 16:35:45 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-27 16:35:45 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-27 16:35:45 | INFO | CI | Logger configured.
2026-03-27 16:35:45 | INFO | CI | ========================
2026-03-27 16:35:45 | INFO | CI | Notebook executed successfully!
2026-03-27 16:35:45 | INFO | CI | ========================
